,,,Decimal,,,Hex,,,,,
Code,LSB,Width,Device,Subdevice,Function,Device,Function,Product,Command,Binary,Binary LSB
0xC269,0x4396,16,67,-1,150,0x43,0x96,VCR,Skip Search,,
0xC283,0x43C1,16,67,-1,193,0x43,0xC1,VCR,Program,,
0xC2C3,0x43C3,16,67,-1,195,0x43,0xC3,VCR,Review,,
0xC263,0x43C6,16,67,-1,198,0x43,0xC6,VCR,Date +,,
0xC2E3,0x43C7,16,67,-1,199,0x43,0xC7,VCR,Date -,,
0xC213,0x43C8,16,67,-1,200,0x43,0xC8,VCR,Start +,,
0xC293,0x43C9,16,67,-1,201,0x43,0xC9,VCR,Start -,,
0xC253,0x43CA,16,67,-1,202,0x43,0xCA,VCR,Stop +,,
0xC2D3,0x43CB,16,67,-1,203,0x43,0xCB,VCR,Stop -,,
0xC233,0x43CC,16,67,-1,204,0x43,0xCC,VCR,Record,,
0xC1F0,0x830F,16,131,-1,15,0x83,0xF,JVC RM-SMXKA6J remote,Tape Play,1100000111110000,1000001100001111
0xF91A,0x9F58,16,159,-1,88,0x9F,0x58,JVC RM-SMXKA6J remote,Tape A/B,1111100100011010,1001111101011000
0xF98E,0x9F71,16,159,-1,113,0x9F,0x71,JVC RM-SMXKA6J remote,Stop,1111100110001110,1001111101110001
0xC5C0,0xA303,16,163,-1,3,0xA3,0x3,JVC RM-SMXKA6J remote,Sleep,1100010111000000,1010001100000011
0xC5D0,0xA30B,16,163,-1,11,0xA3,0xB,JVC RM-SMXKA6J remote,FM/AM,1100010111010000,1010001100001011
0xC5E8,0xA317,16,163,-1,23,0xA3,0x17,JVC RM-SMXKA6J remote,Power Toggle,1100010111101000,1010001100010111
0xC518,0xA318,16,163,-1,24,0xA3,0x18,JVC RM-SMXKA6J remote,Rev,1100010100011000,1010001100011000
0xC598,0xA319,16,163,-1,25,0xA3,0x19,JVC RM-SMXKA6J remote,FF,1100010110011000,1010001100011001
0xC538,0xA31C,16,163,-1,28,0xA3,0x1C,JVC RM-SMXKA6J remote,Fade Muting,1100010100111000,1010001100011100
0xC578,0xA31E,16,163,-1,30,0xA3,0x1E,JVC RM-SMXKA6J remote,Volume +,1100010101111000,1010001100011110
0xC5F8,0xA31F,16,163,-1,31,0xA3,0x1F,JVC RM-SMXKA6J remote,Volume -,1100010111111000,1010001100011111
0xC584,0xA321,16,163,-1,33,0xA3,0x21,JVC RM-SMXKA6J remote,1,1100010110000100,1010001100100001
0xC544,0xA322,16,163,-1,34,0xA3,0x22,JVC RM-SMXKA6J remote,2,1100010101000100,1010001100100010
0xC5C4,0xA323,16,163,-1,35,0xA3,0x23,JVC RM-SMXKA6J remote,3,1100010111000100,1010001100100011
