,,Decimal,,,Hex,,,,,,,
Code,LSB,Device,Subdevice,Function,Device,Function,Width,Product,Key,Binary,Binary,Binary LSB
0x1FE7887,0x807F1EE1,128,-1,30,0x80,0x1E,32,Etekcity 4x1 HDMI Switch,IN3,00000001 11111110 01111000 10000111,00000001111111100111100010000111,10000000011111110001111011100001
0x1FEF807,0x807F1FE0,128,-1,31,0x80,0x1F,32,Etekcity 4x1 HDMI Switch,Enter,00000001 11111110 11111000 00000111,00000001111111101111100000000111,10000000011111110001111111100000
0xFF41BE,0x00FF827D,0,-1,130,0x0,0x82,32,Fangor 1080P Projector,Forward,,,
0xFFC13E,0x00FF837C,0,-1,131,0x0,0x83,32,Fangor 1080P Projector,Rew,,,
0xFF21DE,0x00FF847B,0,-1,132,0x0,0x84,32,Fangor 1080P Projector,GOTO,,,
0xFFA15E,0x00FF857A,0,-1,133,0x0,0x85,32,Fangor 1080P Projector,3,,,
0xFF619E,0x00FF8679,0,-1,134,0x0,0x86,32,Fangor 1080P Projector,2,,,
0xFFE11E,0x00FF8778,0,-1,135,0x0,0x87,32,Fangor 1080P Projector,1,,,
0xFF11EE,0x00FF8877,0,-1,136,0x0,0x88,32,Fangor 1080P Projector,Mute,00000000 11111111 00010001 11101110,00000000111111110001000111101110,00000000111111111000100001110111
0xFF916E,0x00FF8976,0,-1,137,0x0,0x89,32,Fangor 1080P Projector,6,,,
0xFF51AE,0x00FF8A75,0,-1,138,0x0,0x8A,32,Fangor 1080P Projector,5,,,
0xFFD12E,0x00FF8B74,0,-1,139,0x0,0x8B,32,Fangor 1080P Projector,4,,,
0xFF31CE,0x00FF8C73,0,-1,140,0x0,0x8C,32,Fangor 1080P Projector,Volume -,00000000 11111111 00110001 11001110,00000000111111110011000111001110,00000000111111111000110001110011
0xFFB14E,0x00FF8D72,0,-1,141,0x0,0x8D,32,Fangor 1080P Projector,9,,,
0xFF718E,0x00FF8E71,0,-1,142,0x0,0x8E,32,Fangor 1080P Projector,8,,,
0xFFF10E,0x00FF8F70,0,-1,143,0x0,0x8F,32,Fangor 1080P Projector,7,,,
0xFF09F6,0x00FF906F,0,-1,144,0x0,0x90,32,Fangor 1080P Projector,Back,,,
0xFF8976,0x00FF916E,0,-1,145,0x0,0x91,32,Fangor 1080P Projector,Menu,,,
0xFF49B6,0x00FF926D,0,-1,146,0x0,0x92,32,Fangor 1080P Projector,0,,,
0xFFC936,0x00FF936C,0,-1,147,0x0,0x93,32,Fangor 1080P Projector,Stop,,,
0xFF29D6,0x00FF946B,0,-1,148,0x0,0x94,32,Fangor 1080P Projector,Zoom,,,
0xFFA956,0x00FF956A,0,-1,149,0x0,0x95,32,Fangor 1080P Projector,Up,,,
0xFF6996,0x00FF9669,0,-1,150,0x0,0x96,32,Fangor 1080P Projector,Source,,,
0xFFE916,0x00FF9768,0,-1,151,0x0,0x97,32,Fangor 1080P Projector,Play/Pause,,,
0xFF19E6,0x00FF9867,0,-1,152,0x0,0x98,32,Fangor 1080P Projector,FF,,,
0xFF9966,0x00FF9966,0,-1,153,0x0,0x99,32,Fangor 1080P Projector,Right,,,
0xFF59A6,0x00FF9A65,0,-1,154,0x0,0x9A,32,Fangor 1080P Projector,Down,,,
0xFFD926,0x00FF9B64,0,-1,155,0x0,0x9B,32,Fangor 1080P Projector,Left,,,
0xFF39C6,0x00FF9C63,0,-1,156,0x0,0x9C,32,Fangor 1080P Projector,Flip,,,
0xFF7986,0x00FF9E61,0,-1,158,0x0,0x9E,32,Fangor 1080P Projector,OK,00000000 11111111 01111001 10000110,00000000111111110111100110000110,00000000111111111001111001100001
0xFF25DA,0x00FFA45B,0,-1,164,0x0,0xA4,32,Fangor 1080P Projector,Exit,,,
0xFF15EA,0x00FFA857,0,-1,168,0x0,0xA8,32,Fangor 1080P Projector,Power,00000000 11111111 00010101 11101010,00000000111111110001010111101010,00000000111111111010100001010111
0xFF6B94,0x00FFD629,0,-1,214,0x0,0xD6,32,Fangor 1080P Projector,Volume +,00000000 11111111 01101011 10010100,00000000111111110110101110010100,00000000111111111101011000101001
0x1FEA05F,0x807F05FA,128,-1,5,0x80,0x5,32,FERRISA 4x1 HDMI Switch,1,00000001 11111110 10100000 01011111,00000001111111101010000001011111,10000000011111110000010111111010
0x1FEE01F,0x807F07F8,128,-1,7,0x80,0x7,32,FERRISA 4x1 HDMI Switch,2,00000001 11111110 11100000 00011111,00000001111111101110000000011111,10000000011111110000011111111000
0x1FE906F,0x807F09F6,128,-1,9,0x80,0x9,32,FERRISA 4x1 HDMI Switch,3,00000001 11111110 10010000 01101111,00000001111111101001000001101111,10000000011111110000100111110110
0x1FE48B7,0x807F12ED,128,-1,18,0x80,0x12,32,FERRISA 4x1 HDMI Switch,Power,00000001 11111110 01001000 10110111,00000001111111100100100010110111,10000000011111110001001011101101
0x1FED827,0x807F1BE4,128,-1,27,0x80,0x1B,32,FERRISA 4x1 HDMI Switch,4,00000001 11111110 11011000 00100111,00000001111111101101100000100111,10000000011111110001101111100100
0x4FB807F,0x20DF01FE,32,-1,1,0x20,0x1,32,General Electric APH10AAG1 Air Conditioner,Temp Cooler,00000100 11111011 10000000 01111111,00000100111110111000000001111111,00100000110111110000000111111110
0x4FB40BF,0x20DF02FD,32,-1,2,0x20,0x2,32,General Electric APH10AAG1 Air Conditioner,Mode,00000100 11111011 01000000 10111111,00000100111110110100000010111111,00100000110111110000001011111101
0x4FB906F,0x20DF09F6,32,-1,9,0x20,0x9,32,General Electric APH10AAG1 Air Conditioner,Fan Speed,00000100 11111011 10010000 01101111,00000100111110111001000001101111,00100000110111110000100111110110
0x4FB8877,0x20DF11EE,32,-1,17,0x20,0x11,32,General Electric APH10AAG1 Air Conditioner,Timer Off,00000100 11111011 10001000 01110111,00000100111110111000100001110111,00100000110111110001000111101110
0x4FB48B7,0x20DF12ED,32,-1,18,0x20,0x12,32,General Electric APH10AAG1 Air Conditioner,Temp Hotter,00000100 11111011 01001000 10110111,00000100111110110100100010110111,00100000110111110001001011101101
0x4FB9867,0x20DF19E6,32,-1,25,0x20,0x19,32,General Electric APH10AAG1 Air Conditioner,Timer On,00000100 11111011 10011000 01100111,00000100111110111001100001100111,00100000110111110001100111100110
0x4FB58A7,0x20DF1AE5,32,-1,26,0x20,0x1A,32,General Electric APH10AAG1 Air Conditioner,Power Toggle,00000100 11111011 01011000 10100111,00000100111110110101100010100111,00100000110111110001101011100101
,,,-1,,0x0,0x0,32,General Electric APH10AAG1 Air Conditioner,Circulaire,,#VALUE!,#VALUE!
0xFF10EF,0x00FF08F7,0,-1,8,0x0,0x8,32,LED kit for lego,Light on,,,
0xFFB04F,0x00FF0DF2,0,-1,13,0x0,0xD,32,LED kit for lego,100%,,,
0xFF6897,0x00FF16E9,0,-1,22,0x0,0x16,32,LED kit for lego,25%,,,
0xFF9867,0x00FF19E6,0,-1,25,0x0,0x19,32,LED kit for lego,50%,,,
0xFF38C7,0x00FF1CE3,0,-1,28,0x0,0x1C,32,LED kit for lego,Breath lamp,,,
0xFF02FD,0x00FF40BF,0,-1,64,0x0,0x40,32,LED kit for lego,1h,,,
0xFFC23D,0x00FF43BC,0,-1,67,0x0,0x43,32,LED kit for lego,2h,,,
0xFF22DD,0x00FF44BB,0,-1,68,0x0,0x44,32,LED kit for lego,0.5h,,,
0xFFA25D,0x00FF45BA,0,-1,69,0x0,0x45,32,LED kit for lego,On,,,
0xFFE21D,0x00FF47B8,0,-1,71,0x0,0x47,32,LED kit for lego,Off,,,
0xFF5AA5,0x00FF5AA5,0,-1,90,0x0,0x5A,32,LED kit for lego,Flash light,,,
