,,Decimal,,,Hex,,,,,,,
Code,LSB,Device,Subdevice,Function,Device,Function,Width,Product,Key,Binary,Binary,Binary LSB
0x10EF629D,0x8F746B9,8,-1,70,0x8,0x46,32,Tigersecu TS-2MP-402T16 DVR,8,,,
0x10EF52AD,0x8F74AB5,8,-1,74,0x8,0x4A,32,Tigersecu TS-2MP-402T16 DVR,ZOOM,,,
0x10EFD22D,0x8F74BB4,8,-1,75,0x8,0x4B,32,Tigersecu TS-2MP-402T16 DVR,+10,,,
0x10EFB24D,0x8F74DB2,8,-1,77,0x8,0x4D,32,Tigersecu TS-2MP-402T16 DVR,GRID_9,,,
0x10EF728D,0x8F74EB1,8,-1,78,0x8,0x4E,32,Tigersecu TS-2MP-402T16 DVR,RIGHT/FF,,,
0x10EFF20D,0x8F74FB0,8,-1,79,0x8,0x4F,32,Tigersecu TS-2MP-402T16 DVR,ESC,,,
0x10EF4AB5,0x8F752AD,8,-1,82,0x8,0x52,32,Tigersecu TS-2MP-402T16 DVR,OSD,,,
0x10EFCA35,0x8F753AC,8,-1,83,0x8,0x53,32,Tigersecu TS-2MP-402T16 DVR,PTZ,,,
0x10EF2AD5,0x8F754AB,8,-1,84,0x8,0x54,32,Tigersecu TS-2MP-402T16 DVR,IRIS-,,,
0x10EFAA55,0x8F755AA,8,-1,85,0x8,0x55,32,Tigersecu TS-2MP-402T16 DVR,GRID_13,,,
0x10EFEA15,0x8F757A8,8,-1,87,0x8,0x57,32,Tigersecu TS-2MP-402T16 DVR,PLAY,,,
0x10EF9A65,0x8F759A6,8,-1,89,0x8,0x59,32,Tigersecu TS-2MP-402T16 DVR,5,,,
0x10EF5AA5,0x8F75AA5,8,-1,90,0x8,0x5A,32,Tigersecu TS-2MP-402T16 DVR,ENTER/MODE,,,
0x10EFDA25,0x8F75BA4,8,-1,91,0x8,0x5B,32,Tigersecu TS-2MP-402T16 DVR,UP/SLOW,,,
0x10EF3AC5,0x8F75CA3,8,-1,92,0x8,0x5C,32,Tigersecu TS-2MP-402T16 DVR,DOWN/PAUSE,,,
0x10EFBA45,0x8F75DA2,8,-1,93,0x8,0x5D,32,Tigersecu TS-2MP-402T16 DVR,GRID_4,,,
0x10EF7A85,0x8F75EA1,8,-1,94,0x8,0x5E,32,Tigersecu TS-2MP-402T16 DVR,LEFT/RW,,,
0x10EFFA05,0x8F75FA0,8,-1,95,0x8,0x5F,32,Tigersecu TS-2MP-402T16 DVR,MENU/II,,,
,,,-1,,0x0,0x0,32,Tigersecu TS-2MP-402T16 DVR,,,,
0x40BF00FF,0x02FD00FF,2,-1,0,0x2,0x0,32,Vesync Icicle Meteor Shower Lights,ON,,01000000101111110000000011111111,00000010111111010000000011111111
0x40BF807F,0x02FD01FE,2,-1,1,0x2,0x1,32,Vesync Icicle Meteor Shower Lights,TIMER OFF,,01000000101111111000000001111111,00000010111111010000000111111110
0x40BF40BF,0x02FD02FD,2,-1,2,0x2,0x2,32,Vesync Icicle Meteor Shower Lights,OFF,,01000000101111110100000010111111,00000010111111010000001011111101
0x40BF20DF,0x02FD04FB,2,-1,4,0x2,0x4,32,Vesync Icicle Meteor Shower Lights,6H,,01000000101111110010000011011111,00000010111111010000010011111011
0x40BFA05F,0x02FD05FA,2,-1,5,0x2,0x5,32,Vesync Icicle Meteor Shower Lights,8H,,01000000101111111010000001011111,00000010111111010000010111111010
0x40BF609F,0x02FD06F9,2,-1,6,0x2,0x6,32,Vesync Icicle Meteor Shower Lights,6639H,,01000000101111110110000010011111,00000010111111010000011011111001
0x40BF10EF,0x02FD08F7,2,-1,8,0x2,0x8,32,Vesync Icicle Meteor Shower Lights,1(note),,01000000101111110001000011101111,00000010111111010000100011110111
0x40BF906F,0x02FD09F6,2,-1,9,0x2,0x9,32,Vesync Icicle Meteor Shower Lights,1,,01000000101111111001000001101111,00000010111111010000100111110110
0x40BF50AF,0x02FD0AF5,2,-1,10,0x2,0xA,32,Vesync Icicle Meteor Shower Lights,2,,01000000101111110101000010101111,00000010111111010000101011110101
0x40BF30CF,0x02FD0CF3,2,-1,12,0x2,0xC,32,Vesync Icicle Meteor Shower Lights,2(note),,01000000101111110011000011001111,00000010111111010000110011110011
0x40BFB04F,0x02FD0DF2,2,-1,13,0x2,0xD,32,Vesync Icicle Meteor Shower Lights,3,,01000000101111111011000001001111,00000010111111010000110111110010
0x40BF708F,0x02FD0EF1,2,-1,14,0x2,0xE,32,Vesync Icicle Meteor Shower Lights,4,,01000000101111110111000010001111,00000010111111010000111011110001
0x40BF08F7,0x02FD10EF,2,-1,16,0x2,0x10,32,Vesync Icicle Meteor Shower Lights,3(note),,01000000101111110000100011110111,00000010111111010001000011101111
0x40BF8877,0x02FD11EE,2,-1,17,0x2,0x11,32,Vesync Icicle Meteor Shower Lights,5,,01000000101111111000100001110111,00000010111111010001000111101110
0x40BF48B7,0x02FD12ED,2,-1,18,0x2,0x12,32,Vesync Icicle Meteor Shower Lights,6,,01000000101111110100100010110111,00000010111111010001001011101101
0x40BF28D7,0x02FD14EB,2,-1,20,0x2,0x14,32,Vesync Icicle Meteor Shower Lights,4(note),,01000000101111110010100011010111,00000010111111010001010011101011
0x40BFA857,0x02FD15EA,2,-1,21,0x2,0x15,32,Vesync Icicle Meteor Shower Lights,7,,01000000101111111010100001010111,00000010111111010001010111101010
0x40BF6897,0x02FD16E9,2,-1,22,0x2,0x16,32,Vesync Icicle Meteor Shower Lights,8,,01000000101111110110100010010111,00000010111111010001011011101001
0x40BF9867,0x02FD19E6,2,-1,25,0x2,0x19,32,Vesync Icicle Meteor Shower Lights,DIM -,,01000000101111111001100001100111,00000010111111010001100111100110
0x40BF58A7,0x02FD1AE5,2,-1,26,0x2,0x1A,32,Vesync Icicle Meteor Shower Lights,DIM +,,01000000101111110101100010100111,00000010111111010001101011100101
0x20DF00FF,0x04FB00FF,4,-1,0,0x4,0x0,32,Vizio TV,Channel +,,,
0x20DF807F,0x04FB01FE,4,-1,1,0x4,0x1,32,Vizio TV,Channel -,,,
0x20DF40BF,0x04FB02FD,4,-1,2,0x4,0x2,32,Vizio TV,Volume +,,,
0x20DFC03F,0x04FB03FC,4,-1,3,0x4,0x3,32,Vizio TV,Volume -,,,
0x20DF10EF,0x04FB08F7,4,-1,8,0x4,0x8,32,Vizio TV,Power,,,
0x20DF906F,0x04FB09F6,4,-1,9,0x4,0x9,32,Vizio TV,Mute,,,
0x20DF50AF,0x04FB0AF5,4,-1,10,0x4,0xA,32,Vizio TV,MTS,,,
0x20DFD02F,0x04FB0BF4,4,-1,11,0x4,0xB,32,Vizio TV,Audio,,,
0x20DF08F7,0x04FB10EF,4,-1,16,0x4,0x10,32,Vizio TV,0,,,
0x20DF8877,0x04FB11EE,4,-1,17,0x4,0x11,32,Vizio TV,1,,,
0x20DF48B7,0x04FB12ED,4,-1,18,0x4,0x12,32,Vizio TV,2,,,
0x20DFC837,0x04FB13EC,4,-1,19,0x4,0x13,32,Vizio TV,3,,,
0x20DF28D7,0x04FB14EB,4,-1,20,0x4,0x14,32,Vizio TV,4,,,
0x20DFA857,0x04FB15EA,4,-1,21,0x4,0x15,32,Vizio TV,5,,,
0x20DF6897,0x04FB16E9,4,-1,22,0x4,0x16,32,Vizio TV,6,,,
0x20DFE817,0x04FB17E8,4,-1,23,0x4,0x17,32,Vizio TV,7,,,
0x20DF18E7,0x04FB18E7,4,-1,24,0x4,0x18,32,Vizio TV,8,,,
0x20DF9867,0x04FB19E6,4,-1,25,0x4,0x19,32,Vizio TV,9,,,
0x20DFD827,0x04FB1BE4,4,-1,27,0x4,0x1B,32,Vizio TV,Info,,,
0x20DF38C7,0x04FB1CE3,4,-1,28,0x4,0x1C,32,Vizio TV,Guide,,,
0x20DFB847,0x04FB1DE2,4,-1,29,0x4,0x1D,32,Vizio TV,List,,,
0x20DF04FB,0x04FB20DF,4,-1,32,0x4,0x20,32,Vizio TV,Mute On,,,
0x20DF847B,0x04FB21DE,4,-1,33,0x4,0x21,32,Vizio TV,Mute Off,,,
0x20DFA45B,0x04FB25DA,4,-1,37,0x4,0x25,32,Vizio TV,Power Off,,,
0x20DF54AB,0x04FB2AD5,4,-1,42,0x4,0x2A,32,Vizio TV,Power On,,,
0x20DFF40B,0x04FB2FD0,4,-1,47,0x4,0x2F,32,Vizio TV,Input,,,
0x20DF0CF3,0x04FB30CF,4,-1,48,0x4,0x30,32,Vizio TV,Stop,,,
0x20DFCC33,0x04FB33CC,4,-1,51,0x4,0x33,32,Vizio TV,Play,,,
0x20DFEC13,0x04FB37C8,4,-1,55,0x4,0x37,32,Vizio TV,Pause,,,
0x20DF9C63,0x04FB39C6,4,-1,57,0x4,0x39,32,Vizio TV,CC,,,
0x20DFE21D,0x04FB47B8,4,-1,71,0x4,0x47,32,Vizio TV,Dpad Left,,,
0x20DF12ED,0x04FB48B7,4,-1,72,0x4,0x48,32,Vizio TV,Dpad Right,,,
0x20DF926D,0x04FB49B6,4,-1,73,0x4,0x49,32,Vizio TV,Exit,,,
0x20DF52AD,0x04FB4AB5,4,-1,74,0x4,0x4A,32,Vizio TV,Back,,,
0x20DFF20D,0x04FB4FB0,4,-1,79,0x4,0x4F,32,Vizio TV,Menu,,,
0x20DF5AA5,0x04FB5AA5,4,-1,90,0x4,0x5A,32,Vizio TV,Component,,,
0x20DF817E,0x04FB817E,4,-1,129,0x4,0x81,32,Vizio TV,HDMI 1,,,
0x20DF41BE,0x04FB827D,4,-1,130,0x4,0x82,32,Vizio TV,HDMI 2,,,
0x20DFC13E,0x04FB837C,4,-1,131,0x4,0x83,32,Vizio TV,HDMI 3,,,
0x20DF21DE,0x04FB847B,4,-1,132,0x4,0x84,32,Vizio TV,HDMI 4,,,
0x20DF19E6,0x04FB9867,4,-1,152,0x4,0x98,32,Vizio TV,RGB,,,
0x20DF857A,0x04FBA15E,4,-1,161,0x4,0xA1,32,Vizio TV,AV,,,
0x20DF639C,0x04FBC639,4,-1,198,0x4,0xC6,32,Vizio TV,HDMI,,,
0x20DF6B94,0x04FBD629,4,-1,214,0x4,0xD6,32,Vizio TV,TV,,,
0x20DFFF00,0x04FBFF00,4,-1,255,0x4,0xFF,32,Vizio TV,Enter,,,
